"","Genre","Movie_ID"
"672","Thriller","1945"
"673","Crime","39310"
"674","Drama","39310"
"675","Action","109560"
"676","Thriller","109560"
"677","Crime","109560"
"678","Drama","109560"
"679","Horror","56428"
"680","Fiction","63105"
"681","Action","63105"
"682","Thriller","63105"
"683","Drama","131957"
"684","Romance","131957"
"685","Crime","241"
"686","Thriller","241"
"687","Drama","241"
"688","Comedy","9058"
"689","Drama","9058"
"690","Romance","9058"
"691","Drama","527"
"692","Drama","18220"
"693","Romance","18220"
"694","Thriller","18220"
"695","Action","6950"
"696","Drama","6950"
"697","Fiction","6950"
"698","Thriller","6950"
"699","Thriller","101"
"700","Crime","101"
"701","Drama","101"
"702","Comedy","63020"
"703","Drama","63020"
"704","Romance","63020"
"705","Comedy","2307"
"706","Drama","2307"
"707","Romance","2307"
"708","Thriller","680"
"709","Crime","680"
"710","Drama","41478"
"711","Comedy","25296"
"712","Drama","25296"
"713","Drama","40156"
"714","Romance","40156"
"715","History","11450"
"716","Drama","11450"
"717","Drama","30304"
"718","History","30304"
"719","Drama","10452"
"720","History","10452"
"721","Action","12106"
"722","Western","12106"
"723","Drama","161495"
"724","Comedy","161495"
"725","Drama","3586"
"726","Comedy","3586"
"727","Drama","110"
"728","Mystery","110"
"729","Romance","110"
"730","Drama","108"
"731","Music","108"
"732","Mystery","108"
"733","Comedy","109"
"734","Drama","109"
"735","Mystery","109"
"736","Drama","159185"
"737","Comedy","36357"
"738","Family","36357"
"739","Movie","36357"
"740","Horror","92769"
"741","Drama","92769"
"742","Comedy","28033"
"743","Drama","28033"
"744","Animation","22586"
"745","Drama","14334"
"746","Family","14334"
"747","Fantasy","14334"
"748","Action","2636"
"749","Thriller","2636"
"750","Action","2164"
"751","Adventure","2164"
"752","Fiction","2164"
"753","Fantasy","11395"
"754","Drama","11395"
"755","Comedy","11395"
"756","Family","11395"
"757","Drama","278"
"758","Crime","278"
"759","Crime","9905"
"760","Thriller","9905"
"761","Drama","87078"
"762","Thriller","87078"
"763","Comedy","12527"
"764","Drama","12527"
"765","Crime","20306"
